leaid,leaname,fips,stateabb,gsmean_pool,gsgrdslope_pool,gscohslope_pool,gsmathslope_pool,gsmeanse_pool,gsgrdslopese_pool,gscohslopese_pool,gsmathslopese_pool
5002850,CABOT SCHOOL DISTRICT,VT,VT,.4404429723046075,1.010539478764392,.0430100783274864,-.1050040515239853,.3700710814689859,.1376325110321016,.0967333450482885,.3583708044059932
5002880,CALAIS SCHOOL DISTRICT,VT,VT,1.56309880594325,.9919152341044504,.0821173850591835,-.2282671986012347,.3500756299929833,.1351104805245834,.0847539971163365,.3205971542260985
5002910,CAMBRIDGE SCHOOL DISTRICT,VT,VT,.7727614757828381,1.019647708715022,.0589248067429453,-.1709125329416046,.1173908832155688,.0857941540695829,.0544816314991448,.1709971496261151
5003010,CAVENDISH SCHOOL DISTRICT,VT,VT,.5552901101385723,1.03132664303893,.0044616155268564,.1490618009665158,.3781747781949078,.1435077917575542,.0862840765338863,.3559209184755504
5003090,CHARLOTTE SCHOOL DISTRICT,VT,VT,2.57597622975813,1.046578925760011,-.0639894595068942,.434955282606047,.0736722093276798,.0594913697395525,.0456460974094292,.1389992779320399
5003210,CLARENDON SCHOOL DISTRICT,VT,VT,.5868641363683533,.8592719736950154,.020742951612521,-.0408554927062324,.1271568641484933,.0916742500529686,.0586586263846007,.1865017088627685
5003240,COLCHESTER SCHOOL DISTRICT,VT,VT,1.144757584595276,.9872427790877399,.0425989008787086,.2260756357239699,.0537546802658358,.0459446170099455,.0354219877525225,.103989217387024
5003270,CONCORD SCHOOL DISTRICT,VT,VT,-.0145433227461593,1.088741893266217,.0312113021451904,.6213064909345859,.2386080407613777,.1336412874433074,.0913540758033156,.3021531188704033
5003390,CRAFTSBURY SCHOOL DISTRICT,VT,VT,.586818371944835,1.096888880397935,.0776789522959595,-.2078930327097839,.3574284684814262,.1265613294087024,.0967003332599335,.355858810044125
5003450,DANVILLE SCHOOL DISTRICT,VT,VT,1.063013872007655,.9274830996054514,-.032714132820288,.9155863224757505,.0920118562262168,.0719784696598117,.0538885173040149,.1686300732245094
5003480,DERBY SCHOOL DISTRICT,VT,VT,.6175098988486809,.9718605830650464,.0180363825128279,.072609840752652,.103601411201758,.0799475981402059,.0506269991611045,.1557427058369117
5003510,DORSET SCHOOL DISTRICT,VT,VT,1.458431146452224,1.14244410777459,-.0296486083454738,-.143828990827011,.136744904501097,.0954175233338289,.0677245058470548,.2251553713062869
5003570,DUMMERSTON SCHOOL DISTRICT,VT,VT,.9598414188505444,1.111482846874279,.1503119190676105,-.1614044648270159,.1577105230470242,.1025414969289885,.0721061862673031,.2469237641713327
5003690,EAST MONTPELIER SCHOOL DIST,VT,VT,1.292835888268495,1.027932745576847,-.0493247458014186,-.531609884816423,.1233493748066311,.0897019837273811,.0570215812908381,.1812858015071111
